Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
212;Gastroenterologie/Hepatologie;Warum ist die frhe Diagnose der Gallengangsatresie entscheidend?;Weil die operative Korrektur (Kasai-Portoenterostomie) m”glichst frh (in den ersten Lebenswochen) erfolgen muss, um eine Leberzirrhose zu verhindern.;Keine Angabe;Keine Angabe;Keine Angabe;A;Weil die operative Korrektur (Kasai-Portoenterostomie) m”glichst frh (in den ersten Lebenswochen) erfolgen muss, um eine Leberzirrhose zu verhindern.;schwer
213;Gastroenterologie/Hepatologie;Welche Hepatitisviren werden vorwiegend f„kal-oral bertragen?;Keine Angabe;Keine Angabe;Hepatitis A und Hepatitis E.;Keine Angabe;C;Hepatitis A und Hepatitis E.;mittel
214;Gastroenterologie/Hepatologie;Wie wird Hepatitis B bertragen und welche Prophylaxe steht zur Verfgung?;Keine Angabe;Keine Angabe;"Parenteral, sexuell und vertikal (Mutter-Kind); Prophylaxe durch die Hepatitis-B-Impfung (bei Neugeborenen HBsAg-positiver Mtter zus„tzlich Immunglobulin).";Keine Angabe;C;"Parenteral, sexuell und vertikal (Mutter-Kind); Prophylaxe durch die Hepatitis-B-Impfung (bei Neugeborenen HBsAg-positiver Mtter zus„tzlich Immunglobulin).";mittel
215;Gastroenterologie/Hepatologie;Was ist die gastro”sophageale Refluxkrankheit und womit wird sie medikament”s behandelt?;Keine Angabe;Keine Angabe;"Rckfluss von Mageninhalt mit Beschwerden/Schleimhautsch„digung; medikament”s v. a. mit Protonenpumpeninhibitoren (PPI).";Keine Angabe;C;"Rckfluss von Mageninhalt mit Beschwerden/Schleimhautsch„digung; medikament”s v. a. mit Protonenpumpeninhibitoren (PPI).";mittel
216;Gastroenterologie/Hepatologie;Welche Stoffwechsel-/Lebererkrankung mit Kupferspeicherung sollte bei Hepatopathie und neurologischen Symptomen bedacht werden?;Keine Angabe;Keine Angabe;Keine Angabe;Der Morbus Wilson.;D;Der Morbus Wilson.;schwer
217;H„matologie/Onkologie;Welche ist die h„ufigste An„mieform im Kindesalter und welches Blutbild zeigt sie?;Keine Angabe;Keine Angabe;Keine Angabe;"Die Eisenmangelan„mie; mikrozyt„re, hypochrome An„mie (MCV und MCH erniedrigt).";D;"Die Eisenmangelan„mie; mikrozyt„re, hypochrome An„mie (MCV und MCH erniedrigt).";leicht
218;H„matologie/Onkologie;Welche heredit„re h„molytische An„mie beruht auf einem Defekt der Erythrozytenmembran und zeigt Kugelzellen?;Keine Angabe;Die heredit„re Sph„rozytose (Kugelzellan„mie).;Keine Angabe;Keine Angabe;B;Die heredit„re Sph„rozytose (Kugelzellan„mie).;mittel
219;H„matologie/Onkologie;Welche H„moglobinopathie fhrt durch HbS zu sichelf”rmigen Erythrozyten und vasookklusiven Krisen?;Keine Angabe;Keine Angabe;Keine Angabe;Die Sichelzellkrankheit (Sichelzellan„mie).;D;Die Sichelzellkrankheit (Sichelzellan„mie).;mittel
220;H„matologie/Onkologie;Welche Erkrankung beruht auf einer gest”rten Synthese der Globinketten mit konsekutiver An„mie?;Keine Angabe;Keine Angabe;Keine Angabe;Die Thalass„mie.;D;Die Thalass„mie.;mittel
221;H„matologie/Onkologie;Welcher Enzymdefekt der Erythrozyten kann nach Infekten, bestimmten Medikamenten oder Favabohnen eine akute H„molyse ausl”sen?;Der Glucose-6-Phosphat-Dehydrogenase-(G6PD-)Mangel.;Keine Angabe;Keine Angabe;Keine Angabe;A;Der Glucose-6-Phosphat-Dehydrogenase-(G6PD-)Mangel.;schwer
222;H„matologie/Onkologie;Welche maligne Erkrankung ist die h„ufigste Krebserkrankung im Kindesalter?;Die akute lymphoblastische Leuk„mie (ALL).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die akute lymphoblastische Leuk„mie (ALL).;leicht
223;H„matologie/Onkologie;Welche klinischen Leitbefunde lassen an eine akute Leuk„mie denken?;Keine Angabe;Zeichen der Knochenmarkverdr„ngung: An„mie (Bl„sse/Mdigkeit), Thrombozytopenie (Blutungen/Petechien) und Neutropenie (Infekte/Fieber), oft mit Knochenschmerzen und Hepatosplenomegalie/Lymphadenopathie.;Keine Angabe;Keine Angabe;B;Zeichen der Knochenmarkverdr„ngung: An„mie (Bl„sse/Mdigkeit), Thrombozytopenie (Blutungen/Petechien) und Neutropenie (Infekte/Fieber), oft mit Knochenschmerzen und Hepatosplenomegalie/Lymphadenopathie.;mittel
224;H„matologie/Onkologie;Welcher solide Tumor ist der h„ufigste extrakranielle solide Tumor des Kindesalters und entsteht aus dem sympathischen Nervengewebe?;Keine Angabe;Keine Angabe;Keine Angabe;Das Neuroblastom.;D;Das Neuroblastom.;mittel
225;H„matologie/Onkologie;Welche Tumormarker sind beim Neuroblastom typischerweise erh”ht?;Keine Angabe;Katecholaminmetabolite, v. a. Homovanillins„ure (HVA) und Vanillinmandels„ure (VMA) im Urin.;Keine Angabe;Keine Angabe;B;Katecholaminmetabolite, v. a. Homovanillins„ure (HVA) und Vanillinmandels„ure (VMA) im Urin.;schwer
226;H„matologie/Onkologie;Welcher genetische Marker ist beim Neuroblastom prognostisch ungnstig?;Die Amplifikation des MYCN-Onkogens.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Amplifikation des MYCN-Onkogens.;schwer
227;H„matologie/Onkologie;Welcher Tumor ist der h„ufigste maligne Nierentumor des Kindesalters?;Keine Angabe;Das Nephroblastom (Wilms-Tumor).;Keine Angabe;Keine Angabe;B;Das Nephroblastom (Wilms-Tumor).;mittel
228;H„matologie/Onkologie;Welche Vorsichtsregel gilt bei der Untersuchung/Operation eines Wilms-Tumors?;Keine Angabe;Vorsichtige Palpation und sorgf„ltige Operation zur Vermeidung einer Tumorruptur (Gefahr der Tumorzellaussaat).;Keine Angabe;Keine Angabe;B;Vorsichtige Palpation und sorgf„ltige Operation zur Vermeidung einer Tumorruptur (Gefahr der Tumorzellaussaat).;schwer
229;H„matologie/Onkologie;Welche Tumoren sind die h„ufigsten soliden Tumoren des Kindesalters insgesamt?;Keine Angabe;Die Hirntumoren (ZNS-Tumoren).;Keine Angabe;Keine Angabe;B;Die Hirntumoren (ZNS-Tumoren).;mittel
230;H„matologie/Onkologie;Welcher b”sartige Hirntumor ist im Kindesalter am h„ufigsten und wo ist er typischerweise lokalisiert?;Das Medulloblastom, typischerweise infratentoriell (Kleinhirn/4. Ventrikel).;Keine Angabe;Keine Angabe;Keine Angabe;A;Das Medulloblastom, typischerweise infratentoriell (Kleinhirn/4. Ventrikel).;schwer
231;H„matologie/Onkologie;Welcher prim„re maligne Knochentumor ist im Kindes-/Jugendalter am h„ufigsten und wo tritt er bevorzugt auf?;Keine Angabe;Keine Angabe;Keine Angabe;Das Osteosarkom, bevorzugt an der distalen Femurmetaphyse (kniegelenksnah).;D;Das Osteosarkom, bevorzugt an der distalen Femurmetaphyse (kniegelenksnah).;mittel
232;H„matologie/Onkologie;Welcher Knochentumor ist der zweith„ufigste und im Gegensatz zum Osteosarkom strahlensensibel?;Das Ewing-Sarkom.;Keine Angabe;Keine Angabe;Keine Angabe;A;Das Ewing-Sarkom.;schwer
233;H„matologie/Onkologie;Welches Weichteilsarkom ist im Kindesalter am h„ufigsten?;Keine Angabe;Das Rhabdomyosarkom.;Keine Angabe;Keine Angabe;B;Das Rhabdomyosarkom.;mittel
234;H„matologie/Onkologie;Welcher Augentumor des Kleinkindes f„llt h„ufig durch eine weiáe Pupille (Leukokorie) auf?;Keine Angabe;Das Retinoblastom.;Keine Angabe;Keine Angabe;B;Das Retinoblastom.;mittel
235;H„matologie/Onkologie;Welche maligne Lymphomerkrankung mit Reed-Sternberg-Zellen tritt v. a. im Jugendalter auf?;Keine Angabe;Keine Angabe;Das Hodgkin-Lymphom.;Keine Angabe;C;Das Hodgkin-Lymphom.;mittel
236;H„matologie/Onkologie;Welche akute lebensbedrohliche Stoffwechselkomplikation kann zu Beginn der Chemotherapie bei groáer Tumorlast auftreten?;Keine Angabe;Das Tumorlysesyndrom (Hyperkali„mie, Hyperphosphat„mie, Hyperurik„mie, Hypokalz„mie).;Keine Angabe;Keine Angabe;B;Das Tumorlysesyndrom (Hyperkali„mie, Hyperphosphat„mie, Hyperurik„mie, Hypokalz„mie).;schwer
237;H„mostaseologie;Welcher Gerinnungsfaktor fehlt bei der H„mophilie A und welcher bei der H„mophilie B?;Keine Angabe;"H„mophilie A: Faktor VIII; H„mophilie B: Faktor IX.";Keine Angabe;Keine Angabe;B;"H„mophilie A: Faktor VIII; H„mophilie B: Faktor IX.";leicht
238;H„mostaseologie;Welcher Erbgang liegt der H„mophilie A und B zugrunde?;Keine Angabe;Keine Angabe;X-chromosomal-rezessiv (berwiegend Jungen betroffen, Mtter sind Konduktorinnen).;Keine Angabe;C;X-chromosomal-rezessiv (berwiegend Jungen betroffen, Mtter sind Konduktorinnen).;mittel
239;H„mostaseologie;Welcher Globaltest der plasmatischen Gerinnung ist bei H„mophilie typischerweise verl„ngert?;Die aktivierte partielle Thromboplastinzeit (aPTT).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die aktivierte partielle Thromboplastinzeit (aPTT).;mittel
240;H„mostaseologie;Welche Blutungsart ist fr die H„mophilie besonders typisch?;Gelenkeinblutungen (H„marthros) und Muskelblutungen, mit Gefahr der H„mophilie-Arthropathie.;Keine Angabe;Keine Angabe;Keine Angabe;A;Gelenkeinblutungen (H„marthros) und Muskelblutungen, mit Gefahr der H„mophilie-Arthropathie.;mittel
241;H„mostaseologie;Womit wird eine schwere H„mophilie A behandelt?;Keine Angabe;Durch Substitution des fehlenden Gerinnungsfaktors (Faktor-VIII-Konzentrat), prophylaktisch oder bei Blutung.;Keine Angabe;Keine Angabe;B;Durch Substitution des fehlenden Gerinnungsfaktors (Faktor-VIII-Konzentrat), prophylaktisch oder bei Blutung.;mittel
242;H„mostaseologie;Welches Medikament kann bei milder H„mophilie A oder Von-Willebrand-Erkrankung eingesetzt werden, weil es gespeicherten von-Willebrand-Faktor/Faktor VIII freisetzt?;Keine Angabe;Keine Angabe;Keine Angabe;DDAVP (Desmopressin).;D;DDAVP (Desmopressin).;schwer
243;H„mostaseologie;Welche ist die h„ufigste angeborene Blutungsneigung und welche Blutungsart ist typisch?;"Das Von-Willebrand-Syndrom; typisch sind Schleimhaut-/Hautblutungen (z. B. Nasenbluten, Menorrhagie).";Keine Angabe;Keine Angabe;Keine Angabe;A;"Das Von-Willebrand-Syndrom; typisch sind Schleimhaut-/Hautblutungen (z. B. Nasenbluten, Menorrhagie).";mittel
244;H„mostaseologie;Welche erworbene Erkrankung verursacht eine isolierte Thrombozytopenie mit Petechien, oft nach einem viralen Infekt?;Keine Angabe;Keine Angabe;Keine Angabe;Die Immunthrombozytopenie (ITP).;D;Die Immunthrombozytopenie (ITP).;mittel
245;H„mostaseologie;Welche Trias an Blutungszeichen (Schleimhautblutung, Petechien, ...) spricht fr eine Thrombozytopenie/Thrombozytopathie statt fr eine plasmatische Gerinnungsst”rung?;Keine Angabe;Keine Angabe;Schleimhautblutungen, petechiale Hautblutungen und verl„ngerte Blutungszeit (im Gegensatz zu tiefen Gelenk-/Muskelblutungen bei plasmatischer St”rung).;Keine Angabe;C;Schleimhautblutungen, petechiale Hautblutungen und verl„ngerte Blutungszeit (im Gegensatz zu tiefen Gelenk-/Muskelblutungen bei plasmatischer St”rung).;schwer
246;H„mostaseologie;Welche erworbene Verbrauchskoagulopathie tritt z. B. bei Sepsis auf und verbraucht Gerinnungsfaktoren und Thrombozyten?;Keine Angabe;Die disseminierte intravasale Gerinnung (DIC, Verbrauchskoagulopathie).;Keine Angabe;Keine Angabe;B;Die disseminierte intravasale Gerinnung (DIC, Verbrauchskoagulopathie).;schwer
247;H„mostaseologie;Welche Blutung droht beim Neugeborenen ohne Vitamin-K-Prophylaxe?;Keine Angabe;Keine Angabe;Die Vitamin-K-Mangelblutung (Morbus haemorrhagicus neonatorum), u. a. mit Gefahr der Hirnblutung.;Keine Angabe;C;Die Vitamin-K-Mangelblutung (Morbus haemorrhagicus neonatorum), u. a. mit Gefahr der Hirnblutung.;mittel
248;H„mostaseologie;Welches Medikament hemmt die Fibrinolyse und wird untersttzend bei Schleimhautblutungen eingesetzt?;Tranexams„ure (Antifibrinolytikum).;Keine Angabe;Keine Angabe;Keine Angabe;A;Tranexams„ure (Antifibrinolytikum).;mittel
249;Nephrologie;Wie ist das nephrotische Syndrom laborchemisch definiert?;Keine Angabe;Keine Angabe;Groáe Proteinurie (>1000 mg/mı KOF/Tag bzw. >40 mg/mı/h), Hypoalbumin„mie (?25 g/l), ™deme und Hyperlipid„mie.;Keine Angabe;C;Groáe Proteinurie (>1000 mg/mı KOF/Tag bzw. >40 mg/mı/h), Hypoalbumin„mie (?25 g/l), ™deme und Hyperlipid„mie.;schwer
250;Nephrologie;Welche histologische Form liegt dem idiopathischen nephrotischen Syndrom im Kindesalter am h„ufigsten zugrunde?;Keine Angabe;Keine Angabe;Keine Angabe;Die Minimal-Change-Glomerulopathie (Minimal-Change-Nephrose).;D;Die Minimal-Change-Glomerulopathie (Minimal-Change-Nephrose).;mittel
251;Nephrologie;Wie wird das idiopathische nephrotische Syndrom (Erstmanifestation) initial behandelt?;Keine Angabe;Keine Angabe;Keine Angabe;"Mit Glukokortikoiden (Prednison/Prednisolon); die meisten Kinder zwischen 1 und 10 Jahren sind steroidsensibel.";D;"Mit Glukokortikoiden (Prednison/Prednisolon); die meisten Kinder zwischen 1 und 10 Jahren sind steroidsensibel.";mittel
252;Nephrologie;Wie definiert man ein steroidresistentes nephrotisches Syndrom?;Keine Angabe;Keine Angabe;"Keine Remission unter standardisierter Steroidtherapie; dann sind Nierenbiopsie und/oder genetische Diagnostik indiziert.";Keine Angabe;C;"Keine Remission unter standardisierter Steroidtherapie; dann sind Nierenbiopsie und/oder genetische Diagnostik indiziert.";schwer
253;Nephrologie;Welche Erkrankung tritt typischerweise 1?3 Wochen nach einer Streptokokkeninfektion auf und zeigt H„maturie, ™deme und Hypertonie?;Keine Angabe;Keine Angabe;Die akute postinfekti”se (Poststreptokokken-)Glomerulonephritis.;Keine Angabe;C;Die akute postinfekti”se (Poststreptokokken-)Glomerulonephritis.;mittel
254;Nephrologie;Welcher Komplementwert ist bei der akuten Poststreptokokken-Glomerulonephritis typischerweise erniedrigt?;Das Komplement C3 (passager erniedrigt).;Keine Angabe;Keine Angabe;Keine Angabe;A;Das Komplement C3 (passager erniedrigt).;schwer
255;Nephrologie;Welche Trias kennzeichnet das h„molytisch-ur„mische Syndrom (HUS)?;Keine Angabe;Keine Angabe;Keine Angabe;Mikroangiopathische h„molytische An„mie, Thrombozytopenie und akutes Nierenversagen.;D;Mikroangiopathische h„molytische An„mie, Thrombozytopenie und akutes Nierenversagen.;schwer
256;Nephrologie;Welcher Erreger/Toxin ist die h„ufigste Ursache des typischen (D+) HUS im Kindesalter?;Keine Angabe;Enteroh„morrhagische E. coli (EHEC), die Shiga-Toxin/Verotoxin bilden ? oft nach blutiger Diarrh”.;Keine Angabe;Keine Angabe;B;Enteroh„morrhagische E. coli (EHEC), die Shiga-Toxin/Verotoxin bilden ? oft nach blutiger Diarrh”.;schwer
257;Nephrologie;Was ist der vesikoureterale Reflux (VUR) und welche Folge droht?;Keine Angabe;Keine Angabe;Keine Angabe;"Rckfluss von Urin aus der Blase in den Harnleiter/das Nierenbecken; Folge sind rezidivierende Harnwegsinfekte mit Gefahr der Nierennarbenbildung (Refluxnephropathie).";D;"Rckfluss von Urin aus der Blase in den Harnleiter/das Nierenbecken; Folge sind rezidivierende Harnwegsinfekte mit Gefahr der Nierennarbenbildung (Refluxnephropathie).";mittel
258;Nephrologie;Welche Prophylaxe wird bei h”hergradigem VUR h„ufig eingesetzt?;Eine antibakterielle Langzeitprophylaxe (low-dose) zum Schutz vor Pyelonephritiden.;Keine Angabe;Keine Angabe;Keine Angabe;A;Eine antibakterielle Langzeitprophylaxe (low-dose) zum Schutz vor Pyelonephritiden.;mittel
259;Nephrologie;Welche klassische Symptomtrias spricht fr eine Pyelonephritis (obere Harnwegsinfektion)?;Keine Angabe;Fieber, Flankenschmerz und allgemeines Krankheitsgefhl (mit Bakteriurie/Leukozyturie).;Keine Angabe;Keine Angabe;B;Fieber, Flankenschmerz und allgemeines Krankheitsgefhl (mit Bakteriurie/Leukozyturie).;mittel
260;Nephrologie;Welcher Erreger verursacht am h„ufigsten einen Harnwegsinfekt im Kindesalter?;Keine Angabe;Keine Angabe;Escherichia coli.;Keine Angabe;C;Escherichia coli.;leicht
261;Nephrologie;Wie unterscheidet man eine Mikroh„maturie von einer Makroh„maturie?;"Mikroh„maturie ist nur mikroskopisch/per Teststreifen nachweisbar; bei Makroh„maturie ist der Urin sichtbar rot/braun verf„rbt.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Mikroh„maturie ist nur mikroskopisch/per Teststreifen nachweisbar; bei Makroh„maturie ist der Urin sichtbar rot/braun verf„rbt.";leicht
262;Nephrologie;Welche Hinweise sprechen eher fr eine glomerul„re H„maturie?;Keine Angabe;Keine Angabe;Keine Angabe;Brauner/cola-farbener Urin, dysmorphe Erythrozyten und Erythrozytenzylinder, oft mit Proteinurie und Hypertonie.;D;Brauner/cola-farbener Urin, dysmorphe Erythrozyten und Erythrozytenzylinder, oft mit Proteinurie und Hypertonie.;schwer
263;Nephrologie;Was versteht man unter prim„rer Enuresis nocturna?;Keine Angabe;Keine Angabe;Keine Angabe;N„chtliches Einn„ssen jenseits des 5. Lebensjahres ohne dass das Kind zuvor l„nger (?6 Monate) trocken war.;D;N„chtliches Einn„ssen jenseits des 5. Lebensjahres ohne dass das Kind zuvor l„nger (?6 Monate) trocken war.;mittel
264;Nephrologie;Welche nicht-medikament”se Therapie ist bei der monosymptomatischen Enuresis nocturna wirksam?;Die apparative Verhaltenstherapie mit Klingelhose/Weckapparat (?AEC/Klingelmatte?).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die apparative Verhaltenstherapie mit Klingelhose/Weckapparat (?AEC/Klingelmatte?).;mittel
265;Nephrologie;Welches Medikament kann kurzfristig (z. B. fr šbernachtungen) bei Enuresis nocturna eingesetzt werden?;Keine Angabe;Keine Angabe;Keine Angabe;Desmopressin (DDAVP).;D;Desmopressin (DDAVP).;mittel
266;Nephrologie;Wie ist ein akutes Nierenversagen grunds„tzlich gekennzeichnet?;Keine Angabe;Keine Angabe;Durch einen raschen Abfall der Nierenfunktion (Anstieg von Kreatinin/Harnstoff), oft mit Oligurie/Anurie und St”rungen des Wasser-, Elektrolyt- und S„ure-Basen-Haushalts.;Keine Angabe;C;Durch einen raschen Abfall der Nierenfunktion (Anstieg von Kreatinin/Harnstoff), oft mit Oligurie/Anurie und St”rungen des Wasser-, Elektrolyt- und S„ure-Basen-Haushalts.;mittel
267;Orthop„die;Welches bildgebende Verfahren ist beim S„ugling Standard zur Erkennung der Hftdysplasie und nach welcher Klassifikation wird es beurteilt?;Die Hftsonographie (im Rahmen der U3), beurteilt nach der Graf-Klassifikation.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Hftsonographie (im Rahmen der U3), beurteilt nach der Graf-Klassifikation.;mittel
268;Orthop„die;Wie wird eine Hftdysplasie/-luxation im S„uglingsalter typischerweise konservativ behandelt?;Keine Angabe;Keine Angabe;Durch Spreiz-/Beugebehandlung (Spreizhose, Beugeschiene), je nach Graf-Stadium ggf. Reposition und Retention.;Keine Angabe;C;Durch Spreiz-/Beugebehandlung (Spreizhose, Beugeschiene), je nach Graf-Stadium ggf. Reposition und Retention.;mittel
269;Orthop„die;Was ist der Morbus Perthes?;Keine Angabe;Keine Angabe;Keine Angabe;Eine idiopathische avaskul„re Nekrose des Femurkopfes (Hftkopfnekrose) im Kindesalter.;D;Eine idiopathische avaskul„re Nekrose des Femurkopfes (Hftkopfnekrose) im Kindesalter.;mittel
270;Orthop„die;Wie „uáert sich der Morbus Perthes klinisch?;Hinken und Hft- oder (projizierter) Knieschmerz, oft bei Jungen im Alter von ca. 4?8 Jahren, mit Bewegungseinschr„nkung.;Keine Angabe;Keine Angabe;Keine Angabe;A;Hinken und Hft- oder (projizierter) Knieschmerz, oft bei Jungen im Alter von ca. 4?8 Jahren, mit Bewegungseinschr„nkung.;mittel
271;Orthop„die;Welche Hfterkrankung des (bergewichtigen) Jugendlichen ist ein Notfall und beruht auf einem Abrutschen der Femurkopfepiphyse?;Keine Angabe;Keine Angabe;Keine Angabe;Die Epiphyseolysis capitis femoris (ECF).;D;Die Epiphyseolysis capitis femoris (ECF).;schwer
272;Orthop„die;Warum ist die instabile Epiphyseolysis capitis femoris ein Notfall?;Keine Angabe;Keine Angabe;Keine Angabe;"Wegen der Gefahr der Hftkopfnekrose; sie erfordert rasche operative Fixierung (Verschraubung).";D;"Wegen der Gefahr der Hftkopfnekrose; sie erfordert rasche operative Fixierung (Verschraubung).";schwer
273;Orthop„die;Welche h„ufige, meist transiente Hftaffektion nach einem Infekt fhrt zu Hinken und Hftschmerz mit Gelenkerguss in der Sonographie?;Keine Angabe;Keine Angabe;Keine Angabe;Die Coxitis fugax (?Hftschnupfen?, transiente Synovitis).;D;Die Coxitis fugax (?Hftschnupfen?, transiente Synovitis).;mittel
274;Orthop„die;Welche wichtige Differenzialdiagnose der Coxitis fugax muss bei Fieber und schlechtem Allgemeinzustand ausgeschlossen werden?;Die septische (bakterielle) Koxitis/Arthritis bzw. Osteomyelitis.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die septische (bakterielle) Koxitis/Arthritis bzw. Osteomyelitis.;mittel
275;Orthop„die;Welche Erkrankung verursacht beim sportlich aktiven Jugendlichen Schmerzen an der Tuberositas tibiae?;Der Morbus Osgood-Schlatter (Apophysitis der Tuberositas tibiae).;Keine Angabe;Keine Angabe;Keine Angabe;A;Der Morbus Osgood-Schlatter (Apophysitis der Tuberositas tibiae).;mittel
276;Orthop„die;Welche angeborene Fuáfehlstellung wird heute berwiegend mit der Ponseti-Methode (Gipsredression) behandelt?;Keine Angabe;Der kongenitale Klumpfuá (Pes equinovarus).;Keine Angabe;Keine Angabe;B;Der kongenitale Klumpfuá (Pes equinovarus).;mittel
277;Orthop„die;Was versteht man unter einer Skoliose?;Keine Angabe;Eine fixierte seitliche Verbiegung der Wirbels„ule mit Rotation der Wirbelk”rper.;Keine Angabe;Keine Angabe;B;Eine fixierte seitliche Verbiegung der Wirbels„ule mit Rotation der Wirbelk”rper.;leicht
278;Orthop„die;Welche Erkrankung sollte bei Knochenschmerz, lokaler Schwellung und Fieber differenzialdiagnostisch immer bedacht werden?;Die (akute) Osteomyelitis.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die (akute) Osteomyelitis.;mittel
279;Orthop„die;Welcher Erreger verursacht am h„ufigsten eine h„matogene Osteomyelitis im Kindesalter?;Keine Angabe;Staphylococcus aureus.;Keine Angabe;Keine Angabe;B;Staphylococcus aureus.;mittel
280;Orthop„die;Wie ist das grundlegende Vorgehen bei einem hinkenden Kind mit Hftschmerz (diagnostischer Erstschritt)?;"Klinische Untersuchung plus Hftsonographie (Frage nach Gelenkerguss), Entzndungsparameter und ggf. R”ntgen; Ausschluss von septischer Arthritis, Coxitis fugax, Perthes und ECF.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Klinische Untersuchung plus Hftsonographie (Frage nach Gelenkerguss), Entzndungsparameter und ggf. R”ntgen; Ausschluss von septischer Arthritis, Coxitis fugax, Perthes und ECF.";mittel
281;Dermatologie;Welche bakterielle Hautinfektion zeigt typische honiggelbe Krusten und wird durch Staphylokokken/Streptokokken verursacht?;Die Erysipel;Die Impetigo contagiosa.;Die Tinea corporis;Die Follikulitis;B;Die Impetigo contagiosa.;leicht
282;Dermatologie;Welches Virus verursacht die Hand-Fuá-Mund-Krankheit?;Parvovirus B19;Varizella-Zoster-Virus;Herpes-simplex-Virus Typ 1;"Coxsackie-Viren (v. a. Coxsackie A16; auch A6).";D;"Coxsackie-Viren (v. a. Coxsackie A16; auch A6).";mittel
283;Dermatologie;Welche chronische, schubweise verlaufende juckende Hauterkrankung mit altersabh„ngiger Verteilung und Atopie-Assoziation ist gemeint?;Die Psoriasis vulgaris;Das atopische Ekzem (Neurodermitis, atopische Dermatitis).;Die Urtikaria;Die seborrhoische Dermatitis;B;Das atopische Ekzem (Neurodermitis, atopische Dermatitis).;leicht
284;Dermatologie;Worauf beruht die Basistherapie des atopischen Ekzems?;Auf konsequenter rckfettender Hautpflege (Emollientien) zur Wiederherstellung der Hautbarriere.;Auf konsequenter Meidung aller Nahrungsmittelallergene;Auf t„glicher Ganzk”rperdesinfektion zur Keimreduktion;Auf regelm„áiger Anwendung topischer Glukokortikoide;A;Auf konsequenter rckfettender Hautpflege (Emollientien) zur Wiederherstellung der Hautbarriere.;mittel
285;Dermatologie;Welche Wirkstoffe werden bei akuten Schben des atopischen Ekzems topisch eingesetzt?;Topische Glukokortikoide (alternativ topische Calcineurininhibitoren wie Tacrolimus/Pimecrolimus).;Topische Antimykotika;Topische Antibiotika (z. B. Fusidins„ure);Systemische Antihistaminika;A;Topische Glukokortikoide (alternativ topische Calcineurininhibitoren wie Tacrolimus/Pimecrolimus).;mittel
286;Dermatologie;Welche Parasitose verursacht starken (v. a. n„chtlichen) Juckreiz mit typischen Milbeng„ngen und erfordert Mitbehandlung aller Kontaktpersonen?;Die Larva migrans cutanea;Die Pedikulose (Kopflausbefall);Die Tinea pedis;Die Skabies (Kr„tze, Sarcoptes scabiei).;D;Die Skabies (Kr„tze, Sarcoptes scabiei).;mittel
287;Dermatologie;Welche h„ufige Hautirritation im Windelbereich entsteht durch Feuchtigkeit/Reibung und kann durch Candida superinfiziert werden?;Die perianale Streptokokkendermatitis;Die infantile seborrhoische Dermatitis;Die Windeldermatitis.;Die Intertrigo;C;Die Windeldermatitis.;leicht
288;Dermatologie;Welche Erkrankung verursacht scharf begrenzte, silbrig schuppende erythemat”se Plaques (z. B. an Streckseiten und Kopfhaut)?;Der Lichen planus;Das atopische Ekzem;Die Pityriasis rosea;Die Psoriasis (Schuppenflechte).;D;Die Psoriasis (Schuppenflechte).;mittel
289;Dermatologie;Welche Hauterkrankung des Jugendalters entsteht durch Verhornungsst”rung und Entzndung der Talgdrsenfollikel?;Die periorale Dermatitis;Die Akne vulgaris.;Die seborrhoische Dermatitis;Die Rosazea;B;Die Akne vulgaris.;leicht
290;Dermatologie;Welche h„ufigen gutartigen Gef„átumoren des S„uglings wachsen zun„chst und bilden sich danach meist spontan zurck?;Port-Wine-Stains (Naevus flammeus);Kongenitale melanozyt„re N„vi;Kavern”se Lymphangiome;Infantile H„mangiome.;D;Infantile H„mangiome.;mittel
291;Dermatologie;Welches Medikament ist Mittel der Wahl bei behandlungsbedrftigen (komplizierten) infantilen H„mangiomen?;Imiquimod (topischer Immunmodulator);Propranolol (systemischer Betablocker).;Vincristin (Chemotherapeutikum);Prednisolon (systemisches Kortikosteroid);B;Propranolol (systemischer Betablocker).;schwer
292;Dermatologie;Welche viral verursachten, zentral gedellten Hautpapeln treten geh„uft bei Kindern mit atopischem Ekzem auf?;Verrucae vulgares (Stachelwarzen);Milien;Herpes-simplex-Effloreszenzen;Mollusca contagiosa (Dellwarzen).;D;Mollusca contagiosa (Dellwarzen).;mittel
293;Dermatologie;Welche Pilzinfektion der Haut zeigt randbetonte, schuppende, zentral abblassende Herde?;Das nummul„re Ekzem;Die Pityriasis versicolor;Die Vitiligo;Die Tinea (Dermatophytose, z. B. Tinea corporis).;D;Die Tinea (Dermatophytose, z. B. Tinea corporis).;mittel
